"timestamp","segment","speed_kmph","lon1","lat1","lon2","lat2","freeFlowSpeed","currentSpeed"
2025-05-02,"Segment_1",47.4,76.825002,43.24476,76.826895,43.24686,54.0661701692641,47.4
2025-05-02,"Segment_2",52.5,76.95534,43.251553,76.956688,43.256122,63.8729815904517,52.5
2025-05-02,"Segment_3",53.6,76.825959,43.229535,76.82898,43.23141,69.1824777369946,53.6
2025-05-02,"Segment_4",50.3,76.859768,43.201858,76.862948,43.205458,59.3888736281963,50.3
2025-05-02,"Segment_5",44.5,76.937853,43.215431,76.938879,43.219669,57.0092816720018,44.5
2025-05-02,"Segment_6",59.7,76.959628,43.256407,76.96125,43.258768,71.1910112763103,59.7
2025-05-02,"Segment_7",54.9,76.887319,43.267005,76.888706,43.268376,67.3880734033557,54.9
2025-05-02,"Segment_8",54,76.940745,43.259325,76.944664,43.263554,60.8808781198226,54
2025-05-02,"Segment_9",45.8,77.014623,43.237536,77.017831,43.24005,58.814150250759,45.8
2025-05-02,"Segment_10",51,76.943704,43.258058,76.947013,43.262505,63.5502124893945,51
2025-05-02,"Segment_11",57.7,76.829165,43.24932,76.831323,43.251232,64.1886410481017,57.7
2025-05-02,"Segment_12",55.7,76.866558,43.205585,76.86867,43.206989,64.8936463044025,55.7
2025-05-02,"Segment_13",49.4,76.892966,43.244498,76.894804,43.246979,64.0731087279692,49.4
2025-05-02,"Segment_14",55.4,77.007331,43.218688,77.010768,43.22228,66.8462418336328,55.4
2025-05-02,"Segment_15",47.3,76.965825,43.21198,76.968343,43.213634,60.9899519752525,47.3
2025-05-02,"Segment_16",49.1,76.948,43.269267,76.951738,43.272495,60.7803437121166,49.1
2025-05-02,"Segment_17",53,76.9752,43.259,76.976328,43.260916,67.740376274474,53
2025-05-02,"Segment_18",55.3,76.873548,43.222082,76.87832,43.223926,66.4959122736473,55.3
2025-05-02,"Segment_19",48.8,76.882936,43.261346,76.885519,43.264968,60.3140276019648,48.8
2025-05-02,"Segment_20",63.3,76.91177,43.264018,76.913757,43.266078,70.4509790043114,63.3
2025-05-02,"Segment_21",63.8,76.872548,43.239296,76.877139,43.242634,72.8516556373052,63.8
2025-05-02,"Segment_22",54.4,76.863864,43.227958,76.866902,43.232948,68.4011726844311,54.4
2025-05-02,"Segment_23",49.4,76.829423,43.206364,76.832933,43.207803,57.452732071979,49.4
2025-05-02,"Segment_24",46.6,76.904432,43.255446,76.906958,43.2567,54.0559190926701,46.6
2025-05-02,"Segment_25",55.5,76.925823,43.269728,76.930266,43.274612,64.8603003501892,55.5
2025-05-02,"Segment_26",51.8,76.964144,43.200804,76.967292,43.204531,59.1594447442889,51.8
2025-05-02,"Segment_27",51.1,76.948192,43.218678,76.950931,43.220124,65.5406138299778,51.1
2025-05-02,"Segment_28",64.3,77.010763,43.231761,77.012817,43.236264,75.2700489444798,64.3
2025-05-02,"Segment_29",55.5,76.85573,43.235041,76.860212,43.239692,61.3518710499164,55.5
2025-05-02,"Segment_30",45.3,76.94779,43.220891,76.949401,43.224327,51.6445720149949,45.3
2025-05-02,"Segment_31",60.3,76.927876,43.253376,76.930997,43.257491,70.8203932837676,60.3
2025-05-02,"Segment_32",55.6,76.884831,43.20004,76.889547,43.201118,68.9194197681919,55.6
2025-05-02,"Segment_33",46.7,76.986333,43.261511,76.987565,43.263741,58.0362581214821,46.7
2025-05-02,"Segment_34",56.1,77.00939,43.261461,77.012334,43.262804,69.6883063881705,56.1
2025-05-02,"Segment_35",52,76.97212,43.204845,76.973634,43.208908,57.6644156597555,52
2025-05-02,"Segment_36",43.1,76.929961,43.23327,76.934451,43.23533,51.3156693527382,43.1
2025-05-02,"Segment_37",55.7,76.86236,43.22962,76.86628,43.232777,64.5789445598284,55.7
2025-05-02,"Segment_38",44.7,76.882343,43.214081,76.885943,43.219062,52.6399815219781,44.7
2025-05-02,"Segment_39",55.8,76.923515,43.230667,76.925414,43.232151,71.9023461830523,55.8
2025-05-02,"Segment_40",55.1,76.937662,43.223666,76.939543,43.225586,67.651177307521,55.1
2025-05-02 00:10:00,"Segment_1",52.1,76.825002,43.24476,76.826895,43.24686,63.2229443217348,52.1
2025-05-02 00:10:00,"Segment_2",57.2,76.95534,43.251553,76.956688,43.256122,64.3038783312589,57.2
2025-05-02 00:10:00,"Segment_3",50.2,76.825959,43.229535,76.82898,43.23141,63.9421366221737,50.2
2025-05-02 00:10:00,"Segment_4",47.5,76.859768,43.201858,76.862948,43.205458,55.0564997686306,47.5
2025-05-02 00:10:00,"Segment_5",53.1,76.937853,43.215431,76.938879,43.219669,63.3984436659096,53.1
2025-05-02 00:10:00,"Segment_6",52.3,76.959628,43.256407,76.96125,43.258768,58.8666158764577,52.3
2025-05-02 00:10:00,"Segment_7",45.7,76.887319,43.267005,76.888706,43.268376,57.7791638423503,45.7
2025-05-02 00:10:00,"Segment_8",64.9,76.940745,43.259325,76.944664,43.263554,76.4362210255489,64.9
2025-05-02 00:10:00,"Segment_9",43.2,77.014623,43.237536,77.017831,43.24005,53.6758565358818,43.2
2025-05-02 00:10:00,"Segment_10",53.3,76.943704,43.258058,76.947013,43.262505,65.6008466030844,53.3
2025-05-02 00:10:00,"Segment_11",62,76.829165,43.24932,76.831323,43.251232,78.8419302266091,62
2025-05-02 00:10:00,"Segment_12",47.1,76.866558,43.205585,76.86867,43.206989,57.725123006003,47.1
2025-05-02 00:10:00,"Segment_13",59.5,76.892966,43.244498,76.894804,43.246979,71.5461660062894,59.5
2025-05-02 00:10:00,"Segment_14",59,77.007331,43.218688,77.010768,43.22228,69.8010140063707,59
2025-05-02 00:10:00,"Segment_15",49.9,76.965825,43.21198,76.968343,43.213634,56.4535312589956,49.9
2025-05-02 00:10:00,"Segment_16",55.3,76.948,43.269267,76.951738,43.272495,69.1251543725096,55.3
2025-05-02 00:10:00,"Segment_17",59.3,76.9752,43.259,76.976328,43.260916,66.263494650959,59.3
2025-05-02 00:10:00,"Segment_18",43.2,76.873548,43.222082,76.87832,43.223926,48.3648062545806,43.2
2025-05-02 00:10:00,"Segment_19",47.1,76.882936,43.261346,76.885519,43.264968,59.1287935261941,47.1
2025-05-02 00:10:00,"Segment_20",50.1,76.91177,43.264018,76.913757,43.266078,64.4093308770424,50.1
