timestamp,segment,speed_kmph,lon1,lat1,lon2,lat2
2025-05-02 00:00:00,Segment_1,47.4,76.825002,43.24476,76.826895,43.24686
2025-05-02 00:00:00,Segment_2,52.5,76.95534,43.251553,76.956688,43.256122
2025-05-02 00:00:00,Segment_3,53.6,76.825959,43.229535,76.82898,43.23141
2025-05-02 00:00:00,Segment_4,50.3,76.859768,43.201858,76.862948,43.205458
2025-05-02 00:00:00,Segment_5,44.5,76.937853,43.215431,76.938879,43.219669
2025-05-02 00:00:00,Segment_6,59.7,76.959628,43.256407,76.96124999999999,43.258768
2025-05-02 00:00:00,Segment_7,54.9,76.887319,43.267005,76.888706,43.268375999999996
2025-05-02 00:00:00,Segment_8,54.0,76.940745,43.259325,76.944664,43.263554
2025-05-02 00:00:00,Segment_9,45.8,77.014623,43.237536,77.017831,43.24005
2025-05-02 00:00:00,Segment_10,51.0,76.943704,43.258058,76.947013,43.262505
2025-05-02 00:00:00,Segment_11,57.7,76.829165,43.24932,76.831323,43.251231999999995
2025-05-02 00:00:00,Segment_12,55.7,76.866558,43.205585,76.86867,43.206989
2025-05-02 00:00:00,Segment_13,49.4,76.892966,43.244498,76.89480400000001,43.246979
2025-05-02 00:00:00,Segment_14,55.4,77.007331,43.218688,77.010768,43.22228
2025-05-02 00:00:00,Segment_15,47.3,76.965825,43.21198,76.96834299999999,43.213634
2025-05-02 00:00:00,Segment_16,49.1,76.948,43.269267,76.95173799999999,43.272495
2025-05-02 00:00:00,Segment_17,53.0,76.9752,43.259,76.976328,43.260916
2025-05-02 00:00:00,Segment_18,55.3,76.873548,43.222082,76.87832,43.223926
2025-05-02 00:00:00,Segment_19,48.8,76.882936,43.261346,76.885519,43.264968
2025-05-02 00:00:00,Segment_20,63.3,76.91177,43.264018,76.913757,43.266078
2025-05-02 00:00:00,Segment_21,63.8,76.872548,43.239296,76.877139,43.242634
2025-05-02 00:00:00,Segment_22,54.4,76.863864,43.227958,76.86690200000001,43.232948
2025-05-02 00:00:00,Segment_23,49.4,76.829423,43.206364,76.83293300000001,43.207803
2025-05-02 00:00:00,Segment_24,46.6,76.904432,43.255446,76.906958,43.2567
2025-05-02 00:00:00,Segment_25,55.5,76.925823,43.269728,76.93026599999999,43.274612
2025-05-02 00:00:00,Segment_26,51.8,76.964144,43.200804,76.967292,43.204530999999996
